id,company_id,code,name,un_ece_code,table_code,description,percentage,amount_min
pe_cpe_catalog5_1,,1000,IGV,VAT,PE.CPE.CATALOG5,,,
pe_cpe_catalog5_2,,1016,IVAP,VAT,PE.CPE.CATALOG5,,,
pe_cpe_catalog5_3,,2000,ISC,EXC,PE.CPE.CATALOG5,,,
pe_cpe_catalog5_4,,9995,EXP,FRE,PE.CPE.CATALOG5,,,
pe_cpe_catalog5_5,,9996,GRA,FRE,PE.CPE.CATALOG5,,,
pe_cpe_catalog5_6,,9997,EXO,VAT,PE.CPE.CATALOG5,,,
pe_cpe_catalog5_7,,9998,INA,FRE,PE.CPE.CATALOG5,,,
pe_cpe_catalog5_8,,9999,OTROS,OTH,PE.CPE.CATALOG5,,,
,,,,,,,,
pe_cpe_catalog7_1,,10,Gravado - Operación Onerosa,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_2,,11,Gravado - Retiro por premio,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_3,,12,Gravado - Retiro por donación,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_4,,13,Gravado - Retiro,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_5,,14,Gravado - Retiro por publicidad,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_6,,15,Gravado - Bonificaciones,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_7,,16,Gravado - Retiro por entrega a trabajadores,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_8,,17,Gravado - IVAP,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_9,,20,Exonerado - Operación Onerosa,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_10,,21,Exonerado - Transferencia gratuita,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_11,,30,Inafecto - Operación Onerosa,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_12,,31,Inafecto - Retiro por bonificación,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_13,,32,Inafecto - Retiro,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_14,,33,Inafecto - Retiro por muestras médicas,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_15,,34,Inafecto - Retiro por convenio colectivo,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_16,,35,Inafecto - Retiro por premio,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_17,,36,Inafecto - Retiro por publicidad,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_18,,37,Inafecto - Transferencia gratuita,,PE.CPE.CATALOG7,,,
pe_cpe_catalog7_19,,40,Exportación de Bienes o Servicios,,PE.CPE.CATALOG7,,,
,,,,,,,,
